currency_pair_cd,execution_dt,execution_id,execution_price,filled_quantity,id,is_cs,markup,open_close,order_id,original_price,sequence_number,side,update_date
BTC_JPY,'2018-11-29 00:31:50,'2018112900014922112,471230,0.07,6526749,1,0,,'2018112900106709679,0,116014,1,'2018-11-29 09:31:50
BTC_JPY,'2018-11-29 00:34:14,'2018112900014922162,471315,0.01,6526764,1,0,,'2018112900106709728,0,116015,3,'2018-11-29 09:34:14
BTC_JPY,'2018-11-29 00:34:14,'2018112900014922162,471315,0.01,6526765,1,0,,'2018112900106709715,0,116016,1,'2018-11-29 09:34:14
BTC_JPY,'2018-11-29 00:34:31,'2018112900014922172,471249.67,0.00023426,6526766,0,0,,'2018112900106709734,0,116017,1,'2018-11-29 09:34:31
BTC_JPY,'2018-11-29 00:34:31,'2018112900014922173,471044.08,0.00019528,6526767,0,0,,'2018112900106709734,0,116018,1,'2018-11-29 09:34:31
BTC_JPY,'2018-11-29 00:34:31,'2018112900014922174,470977.76,0.01957046,6526768,0,0,,'2018112900106709734,0,116019,1,'2018-11-29 09:34:31
BTC_JPY,'2018-11-29 00:35:08,'2018112900014922183,471315,0.03,6526771,1,0,,'2018112900106709739,0,116020,3,'2018-11-29 09:35:08
BTC_JPY,'2018-11-29 00:35:08,'2018112900014922183,471315,0.03,6526772,1,0,,'2018112900106709715,0,116021,1,'2018-11-29 09:35:08
BTC_JPY,'2018-11-29 00:35:21,'2018112900014922186,471315,0.038000000000000006,6526773,1,0,,'2018112900106709740,0,116022,1,'2018-11-29 09:35:21
BTC_JPY,'2018-11-29 00:35:21,'2018112900014922186,471315,0.038000000000000006,6526774,1,0,,'2018112900106709739,0,116023,3,'2018-11-29 09:35:21
BTC_JPY,'2018-11-29 00:36:57,'2018112900014922213,471707.83,0.08,6526778,0,0,,'2018112900106709752,0,116024,3,'2018-11-29 09:36:57
BTC_JPY,'2018-11-29 00:38:10,'2018112900014922224,471500,0.001,6526785,1,0,,'2018112900106709758,0,116025,3,'2018-11-29 09:38:10
BTC_JPY,'2018-11-29 00:38:10,'2018112900014922224,471500,0.001,6526786,1,0,,'2018112900106709755,0,116026,1,'2018-11-29 09:38:10
BTC_JPY,'2018-11-29 00:38:10,'2018112900014922225,472580,0.1,6526787,1,0,,'2018112900106709758,0,116027,3,'2018-11-29 09:38:10
BTC_JPY,'2018-11-29 00:38:10,'2018112900014922225,472580,0.1,6526788,1,0,,'2018112900106709170,0,116028,1,'2018-11-29 09:38:10
BTC_JPY,'2018-11-29 00:38:10,'2018112900014922226,472731.12,0.43900000000000006,6526789,0,0,,'2018112900106709758,0,116029,3,'2018-11-29 09:38:10
BTC_JPY,'2018-11-29 00:38:48,'2018112900014922239,471139,0.02,6526790,1,0,,'2018112900106709764,0,116030,3,'2018-11-29 09:38:48
BTC_JPY,'2018-11-29 00:38:48,'2018112900014922239,471139,0.02,6526791,1,0,,'2018112900106709763,0,116031,1,'2018-11-29 09:38:48
